Date,Open,High,Low,Close,Adj Close,Volume
7/7/2020,384.74,388.73,380.88,381.14,377.14,717300
7/8/2020,381.72,385.43,381.46,384.14,380.1,494600
7/9/2020,386.07,387.34,378.38,385.5,381.45,546300
7/10/2020,387,398.91,383.71,398.31,394.13,861600
7/13/2020,402,417.15,401.24,401.38,397.16,1170000
7/14/2020,400.43,405.43,390.58,402.3,398.07,886600
7/15/2020,401,417.34,399.43,413.68,409.33,1158900
7/16/2020,404,422.15,403.69,407.52,403.24,1322100
7/17/2020,410,410,388,390.22,386.12,1182700
7/20/2020,391.1,394.68,385.13,391.43,387.32,660900
7/21/2020,395,395.64,386.56,387.81,383.74,553700
7/22/2020,388.47,395.22,387.41,389.12,385.03,568000
7/23/2020,389.99,390.6,377.9,381.32,377.31,618000
7/24/2020,379.48,387.23,376.58,386.91,382.85,549100
7/27/2020,390.62,394.89,387.11,389.61,385.52,549600
7/28/2020,389.54,390.83,384.77,385.42,381.37,476800
7/29/2020,387.19,389.3,384.3,385.15,381.1,435900
7/30/2020,383,386.04,379.68,384.53,380.49,678800
7/31/2020,384.92,387.12,377.96,386.61,382.55,640200
8/3/2020,387.45,393.96,382,387.03,382.96,558500
8/4/2020,385,392.03,383.54,391.86,387.74,441100
8/5/2020,389.97,394.5,388.6,393.44,389.31,535700
8/6/2020,392.19,395.24,390.92,392.55,388.43,312500
8/7/2020,392.58,393.85,385,389.12,385.03,472400
8/10/2020,389.56,391.92,384.4,385.93,381.88,410300
8/11/2020,384,391.18,381.87,388.65,384.57,453700
8/12/2020,390.36,395.95,388.02,392.67,388.55,413900
8/13/2020,394.38,399.48,392.26,399.04,394.85,580800
8/14/2020,399.98,400.9,393.67,398.99,394.8,341600
8/17/2020,401,409.8,401,409.39,405.09,840600
8/18/2020,410,413.73,406.17,411.45,407.13,439300
8/19/2020,413.45,416.3,408.02,414.23,409.88,612300
8/20/2020,413.33,419.66,412.82,418.33,413.94,511100
8/21/2020,419.94,423.55,416.73,419.7,415.29,368200
8/24/2020,423.02,424.72,416.77,418.99,414.59,456000
8/25/2020,418.23,419.84,411.06,419.36,414.96,379900
8/26/2020,417.56,419.72,414.92,418.09,413.7,349500
8/27/2020,418.09,422.95,416.3,416.32,411.95,370200
8/28/2020,414.77,419.37,412.01,415.98,411.61,321800
8/31/2020,418,418.28,407.16,408.96,404.66,670700
9/1/2020,408.44,411.72,405.65,410.15,405.84,502500
9/2/2020,409.86,413.18,402.62,403.6,399.36,585400
9/3/2020,403,403.31,389.64,397.5,393.32,802500
9/4/2020,397.61,401.2,376.33,381.81,377.8,857900
9/8/2020,381.57,386.65,376.11,376.32,372.37,683100
9/9/2020,382.5,387.69,380.48,382.07,378.06,594300
9/10/2020,383.94,395.18,383.13,388.97,384.88,728300
9/11/2020,401.39,401.98,392.94,394.68,390.53,720000
9/14/2020,395.45,397.59,385.26,388.52,385.2,521900
9/15/2020,389.74,394.72,387.39,389.52,386.19,444200
9/16/2020,390.72,394.01,385.98,385.98,382.68,411400
9/17/2020,386.72,395.44,385.83,395.07,391.69,524200
9/18/2020,393.41,398.05,388.9,397.59,394.19,779800
9/21/2020,395.44,405.96,392.08,404.97,401.51,655100
9/22/2020,404.96,414.92,400.9,413.75,410.21,560100
9/23/2020,414.57,421.15,409.77,413.54,410.01,577600
9/24/2020,413.25,417.55,408.55,413.3,409.77,462200
9/25/2020,414.6,418.28,410.38,418.08,414.51,346100
9/28/2020,416.44,423.11,414.88,421.54,417.94,415800
9/29/2020,422.2,428.54,420.65,423.46,419.84,390700
9/30/2020,425,428,421.77,425.28,421.65,464800
10/1/2020,427.11,430.91,424.53,426.99,423.34,528300
10/2/2020,425.51,435.14,424.51,433.78,430.07,431700
10/5/2020,433.66,435.58,423.99,424.94,421.31,1024200
10/6/2020,426.55,433.52,425.37,427.53,423.88,646900
10/7/2020,429.8,433.45,425.77,431.05,427.37,952600
10/8/2020,405.9,410.92,394.9,401.01,397.58,3793100
10/9/2020,403,404.55,386.64,390.95,387.61,2517000
10/12/2020,392,395.94,388.02,392.58,389.23,1207400
10/13/2020,393.62,407.88,392.73,407.72,404.24,1255300
10/14/2020,408.41,411.4,402.57,403.21,399.76,871500
10/15/2020,402.61,405.63,400.21,401.84,398.41,664500
10/16/2020,401.72,403.67,396.4,399.45,396.04,530600
10/19/2020,400.73,400.73,393.55,394.89,391.52,380300
10/20/2020,394.57,397.81,391.77,394.41,391.04,487100
10/21/2020,393.67,393.71,388.81,389.95,386.62,523400
10/22/2020,390,393.46,387.18,391.74,388.39,442200
10/23/2020,390,394.54,386.33,394.1,390.73,466400
10/26/2020,393.08,396.74,389.55,394.61,391.24,500700
10/27/2020,396.97,398.71,392.54,397.03,393.64,421800
10/28/2020,394.85,394.85,383.64,384,380.72,719000
10/29/2020,385.65,392.75,382.19,386.72,383.42,484700
10/30/2020,385,386.76,373.43,378.32,375.09,689700
11/2/2020,377.79,380.35,370.57,376.03,372.82,601200
11/3/2020,379.62,386.35,377.12,383.24,379.97,467200
11/4/2020,386.72,394.47,384,392.52,389.17,473500
11/5/2020,393.84,398.25,390.88,396.22,392.83,616300
11/6/2020,394.01,402.33,390.51,399.85,396.43,477600
11/9/2020,387.21,389.5,369.22,376.55,373.33,1336800
11/10/2020,375,386.92,370.26,381.67,378.41,811200
11/11/2020,383.76,396.14,383.04,394.67,391.3,647600
11/12/2020,394.63,401,386.85,390.55,387.21,608000
11/13/2020,390.17,393.79,387.71,389.6,386.27,321300
11/16/2020,384.29,392.65,383.01,384.82,381.53,669000
11/17/2020,385.46,391.31,384.41,384.47,381.18,381400
11/18/2020,385.66,387.3,382.31,382.46,379.19,382000
11/19/2020,384.31,387.68,383.01,385.04,381.75,392600
